0,0,[1, 1, 1],[0, 6, 12] | 15100,28900,1.95,0.0736139117287
0,0,[1, 0, 1],[0, 6, 12] | 14600,26500,1.8915,0.0736139117287
0,0,[1, 5, 1],[0, 6, 12] | 14100,23700,1.8272,0.0736139117287
0,0,[0, 1, 0],[0, 6, 12] | 14200,24100,1.833,0.0736139117287
0,0,[5, 1, 1, 5],[0, 4, 8, 12] | 14900,28100,1.9384,0.0736139117287
0,0,[4, 1, 1, 4],[0, 4, 8, 12] | 14500,25900,1.8828,0.0736139117287
0,0,[3, 1, 1, 3],[0, 4, 8, 12] | 14200,24200,1.8411,0.0736139117287
0,0,[1, 1, 1, 1],[0, 4, 8, 12] | 16900,31900,2.184,0.0736139117287
0,0,[1, 0, 0, 1],[0, 4, 8, 12] | 16000,31900,2.067,0.0736139117287
0,0,[1, 5, 5, 1],[0, 4, 8, 12] | 14900,28100,1.9384,0.0736139117287
0,0,[1, 4, 4, 1],[0, 4, 8, 12] | 14500,25900,1.8828,0.0736139117287
0,0,[1, 3, 3, 1],[0, 4, 8, 12] | 14200,24200,1.8411,0.0736139117287
0,0,[0, 0, 0, 0],[0, 4, 8, 12] | 15100,30300,1.95,0.0736139117287
0,0,[0, 1, 1, 0],[0, 4, 8, 12] | 16000,31900,2.067,0.0736139117287
0,0,[5, 5, 1, 5, 5],[0, 3, 6, 9, 12] | 14800,31900,1.9268,0.0736139117287
0,0,[5, 5, 0, 5, 5],[0, 3, 6, 9, 12] | 14300,31900,1.8683,0.0736139117287
0,0,[5, 4, 1, 4, 5],[0, 3, 6, 9, 12] | 14300,28900,1.8712,0.0736139117287
0,0,[5, 1, 5, 1, 5],[0, 3, 6, 9, 12] | 15700,31900,2.0496,0.0736139117287
0,0,[5, 1, 4, 1, 5],[0, 3, 6, 9, 12] | 15500,31400,2.0218,0.0736139117287
0,0,[5, 1, 3, 1, 5],[0, 3, 6, 9, 12] | 15400,30600,2.00095,0.0736139117287
0,0,[5, 1, 2, 1, 5],[0, 3, 6, 9, 12] | 15200,29800,1.9801,0.0736139117287
0,0,[5, 1, 1, 1, 5],[0, 3, 6, 9, 12] | 16700,31900,2.1724,0.0736139117287
0,0,[5, 1, 0, 1, 5],[0, 3, 6, 9, 12] | 16300,31900,2.1139,0.0736139117287
0,0,[5, 0, 5, 0, 5],[0, 3, 6, 9, 12] | 14800,29100,1.9326,0.0736139117287
0,0,[5, 0, 4, 0, 5],[0, 3, 6, 9, 12] | 14600,27900,1.9048,0.0736139117287
0,0,[5, 0, 3, 0, 5],[0, 3, 6, 9, 12] | 14500,27000,1.88395,0.0736139117287
0,0,[5, 0, 2, 0, 5],[0, 3, 6, 9, 12] | 14300,26200,1.8631,0.0736139117287
0,0,[5, 0, 1, 0, 5],[0, 3, 6, 9, 12] | 15800,31900,2.0554,0.0736139117287
0,0,[5, 0, 0, 0, 5],[0, 3, 6, 9, 12] | 15400,31900,1.9969,0.0736139117287
0,0,[4, 1, 4, 1, 4],[0, 3, 6, 9, 12] | 15100,29200,1.9662,0.0736139117287
0,0,[4, 1, 3, 1, 4],[0, 3, 6, 9, 12] | 15000,28400,1.94535,0.0736139117287
0,0,[4, 1, 2, 1, 4],[0, 3, 6, 9, 12] | 14800,27600,1.9245,0.0736139117287
